"Country","Network Name","Price"
"Guinea","Telecel-GIN","0.0502"
"Guinea","MTN-GIN","0.0502"
"Guinea","Cellcom-GIN","0.0502"
"Ivory Coast","Moov-CIV","0.0542"
"Ivory Coast","Orange-CIV","0.0542"
"Ivory Coast","KoZ-CIV","0.0542"
"Ivory Coast","MTN-CIV","0.0542"
"Ivory Coast","GreenN-CIV","0.0542"
"Burkina Faso","Telmob-BFA","0.0548"
"Burkina Faso","Airtel-BFA","0.0548"
"Burkina Faso","Telecel-BFA","0.0548"
"Niger","SahelCom-NER","0.0718"
"Niger","Airtel-NER","0.0718"
"Niger","Moov-NER","0.0718"
"Niger","Orange-NER","0.0718"
"Togo","Togo Cell-TGO","0.0719"
"Togo","Moov-TGO","0.0719"
"Benin","BT-Mobile-BEN","0.0650"
"Benin","Moov-BEN","0.0650"
"Benin","MTN-BEN","0.0650"
"Benin","BBCOM-BEN","0.0650"
"Benin","GloMobile-BEN","0.0650"
"Mauritius","Orange-MUS","0.0468"
"Mauritius","MTML-MUS","0.0468"
"Mauritius","Emtel-MUS","0.0468"
"Liberia","Lonestar-LBR","0.0639"
"Liberia","Comium-LBR","0.0639"
"Liberia","Cellcom-LBR","0.0639"
"Sierra Leone","Airtel-SLE","0.0456"
"Sierra Leone","Comium-SLE","0.0456"
"Sierra Leone","Africell-SLE","0.0456"
"Sierra Leone","SierraTel-SLE","0.0456"
"Sierra Leone","Mobitel-SLE","0.0456"
"Sierra Leone","Cellcom-SLE","0.0456"
"Ghana","MTN-GHA","0.0479"
"Ghana","Vodafone-GHA","0.0479"
"Ghana","AirtelTigo-GHA","0.0479"
"Ghana","Globacom-GHA","0.0479"
"Nigeria","MultiLinks-NGA","0.0958"
"Nigeria","Airtel-NGA","0.0958"
"Nigeria","Visafone-NGA","0.0958"
"Nigeria","MTN-NGA","0.0958"
"Nigeria","Mtel-NGA","0.0958"
"Nigeria","Glo Mobile-NGA","0.0958"
"Nigeria","Etisalat-NGA","0.0958"
"Chad","Airtel-TCD","0.0627"
"Chad","Tigo (Millicom)-TCD","0.0627"
"Central African Republic","Etisalat-CAF","0.0342"
"Central African Republic","Telecel-CAF","0.0342"
"Central African Republic","Orange-CAF","0.0342"
"Central African Republic","Nationlink-CAF","0.0342"
"Cameroon","MTN-CMR","0.0325"
"Cameroon","Orange-CMR","0.0325"
"Cameroon","Nexttel-CMR","0.0325"
"Cape Verde Islands","CVMovel-CPV","0.0593"
"Cape Verde Islands","T+-CPV","0.0593"
"Sao Tome and Principe","CSTmovel-STP","0.0776"
"Equatorial Guinea","Orange GQ-GNQ","0.0559"
"Equatorial Guinea","HiTs-GE-GNQ","0.0559"
"Gabon","Airtel-GAB","0.0821"
"Congo","Airtel-COG","0.0331"
"Congo","Azur-COG","0.0331"
"Congo","Warid-COG","0.0331"
"Congo","MTN-COG","0.0331"
"DR of Congo","Vodacom-COD","0.0422"
"DR of Congo","Airtel-COD","0.0422"
"DR of Congo","Orange-COD","0.0422"
"DR of Congo","Tigo-COD","0.0422"
"DR of Congo","Africell-COD","0.0422"
"Angola","UNITEL-AGO","0.0491"
"Guinea-Bissau","Guinetel-GNB","0.0878"
"Guinea-Bissau","MTN Areeba-GNB","0.0878"
"Guinea-Bissau","Orange-GNB","0.0878"
"Seychelles","Cable & Wireless-SYC","0.0627"
"Seychelles","Smartcom-SYC","0.0627"
"Seychelles","Airtel-SYC","0.0627"
"Sudan","Zain-SDN","0.0770"
"Sudan","MTN-SDN","0.0770"
"Sudan","Sudatel-SDN","0.0770"
"Rwanda","MTN-RWA","0.0342"
"Rwanda","Tigo-RWA","0.0342"
"Rwanda","Airtel-RWA","0.0342"
"Ethiopia","Ethio Mobile-ETH","0.0502"
"Somalia","Telesom-SOM","0.1027"
"Somalia","Somafone-SOM","0.1027"
"Somalia","NationLink-SOM","0.1027"
"Somalia","Golis-SOM","0.1027"
"Somalia","Hormuud-SOM","0.1027"
"Somalia","Telcom Mobile-SOM","0.1027"
"Djibouti","Evatis-DJI","0.0941"
"Kenya","Safaricom-KEN","0.0878"
"Kenya","Airtel-KEN","0.0878"
"Kenya","Orange-KEN","0.0878"
"Tanzania","Tigo-TZA","0.0605"
"Tanzania","Zantel-TZA","0.0605"
"Tanzania","Vodacom-TZA","0.0605"
"Tanzania","Airtel-TZA","0.0605"
"Tanzania","Sasatel-TZA","0.0605"
"Tanzania","TTCL Mobile-TZA","0.0605"
"Tanzania","BOL-TZA","0.0605"
"Tanzania","HiTS-TZA","0.0605"
"Tanzania","SmileCom-TZA","0.0605"
"Tanzania","MyCell-TZA","0.0605"
"Uganda","Airtel-UGA","0.0753"
"Uganda","Afrimax-UGA","0.0753"
"Uganda","MTN-UGA","0.0753"
"Uganda","Uganda Telecom-UGA","0.0753"
"Uganda","Africell-UGA","0.0753"
"Uganda","Suretelecom-UGA","0.0753"
"Uganda","Warid-UGA","0.0753"
"Burundi","Econet-BDI","0.0559"
"Burundi","Smart Mobile-BDI","0.0559"
"Burundi","Leo-BDI","0.0559"
"Mozambique","mCel-MOZ","0.0308"
"Mozambique","Movitel-MOZ","0.0308"
"Mozambique","Vodacom-MOZ","0.0308"
"Zambia","Airtel-ZMB","0.0570"
"Zambia","MTN-ZMB","0.0570"
"Zambia","Zamtel-ZMB","0.0570"
"Madagascar","Airtel-MDG","0.0582"
"Madagascar","Orange-MDG","0.0582"
"Reunion Island","Orange-REU","0.1255"
"Reunion Island","Outremer-REU","0.1255"
"Reunion Island","SFR-REU","0.1255"
"Zimbabwe","Net*One-ZWE","0.0222"
"Zimbabwe","Telecel-ZWE","0.0222"
"Zimbabwe","Econet-ZWE","0.0222"
"Namibia","MTC-NAM","0.0399"
"Namibia","TN Mobile-NAM","0.0399"
"Malawi","TNM-MWI","0.0605"
"Malawi","Airtel-MWI","0.0605"
"Lesotho","Vodacom-LSO","0.0821"
"Lesotho","Econet Ezi-Cel-LSO","0.0821"
"Botswana","MASCOM-BWA","0.0325"
"Botswana","Orange-BWA","0.0325"
"Botswana","BTC Mobile-BWA","0.0325"
"Swaziland","SPTC-SWZ","0.0856"
"Swaziland","Swazi MTN-SWZ","0.0856"
"Comoros","HURI-COM","0.0297"
"South Africa","Vodacom-ZAF","0.0217"
"South Africa","Telkom (8.ta)-ZAF","0.0217"
"South Africa","Cell C-ZAF","0.0217"
"South Africa","MTN-ZAF","0.0217"
"Eritrea","EriTel-ERI","0.0354"
"South Sudan","MTN-SSD","0.0570"
"South Sudan","Gemtel-SSD","0.0570"
"South Sudan","Vivacell-SSD","0.0570"
"South Sudan","Zain-SSD","0.0570"
"Belize","DigiCel-BLZ","0.0125"
"Guatemala","Claro-GTM","0.0445"
"Guatemala","Tigo-GTM","0.0445"
"Guatemala","Movistar-GTM","0.0445"
"El Salvador","Claro-SLV","0.0436"
"El Salvador","Digicel-SLV","0.0436"
"El Salvador","Tigo-SLV","0.0436"
"El Salvador","Movistar-SLV","0.0436"
"El Salvador","RED-SLV","0.0436"
"Honduras","Claro-HND","0.0502"
"Honduras","Tigo-HND","0.0502"
"Honduras","Hondutel-HND","0.0502"
"Honduras","Digicel-HND","0.0502"
"Nicaragua","Claro-NIC","0.0513"
"Nicaragua","Movistar-NIC","0.0513"
"Costa Rica","Kolbi ICE-CRI","0.0376"
"Costa Rica","Claro-CRI","0.0376"
"Costa Rica","Movistar-CRI","0.0376"
"Panama","Cable & Wireless-PAN","0.0548"
"Panama","Movistar-PAN","0.0548"
"Panama","Claro-PAN","0.0548"
"Panama","Digicel-PAN","0.0548"
"Peru","Other-PER","0.0308"
"Peru","Movistar-PER","0.0308"
"Peru","Entel-PER","0.0308"
"Peru","Claro-PER","0.0308"
"Peru","Viettel-PER","0.0308"
"Argentina","Nextel-ARG","0.0548"
"Argentina","Movistar-ARG","0.0548"
"Argentina","Claro-ARG","0.0548"
"Argentina","Personal-ARG","0.0548"
"Brazil","Other-BRA","0.0205"
"Brazil","Nextel-BRA","0.0205"
"Brazil","TIM-BRA","0.0205"
"Brazil","Claro-BRA","0.0205"
"Brazil","Vivo-BRA","0.0205"
"Brazil","Sercomtel-BRA","0.0205"
"Brazil","Brazil Telecom-BRA","0.0205"
"Brazil","Oi-BRA","0.0205"
"Brazil","CTBC-BRA","0.0205"
"Chile","Entel-CHL","0.0467"
"Chile","Movistar-CHL","0.0467"
"Chile","Claro-CHL","0.0467"
"Chile","INNET-CHL","0.0467"
"Chile","VTR-CHL","0.0467"
"Chile","WOM (Nextel)-CHL","0.0467"
"Chile","Celupago-CHL","0.0467"
"Chile","TELESTAR-CHL","0.0467"
"Chile","Virgin Mobile-CHL","0.0467"
"Chile","Netline-CHL","0.0467"
"Chile","Cibeles Telecom-CHL","0.0467"
"Colombia","COMCEL-COL","0.0125"
"Colombia","Tigo-COL","0.0125"
"Colombia","Movistar-COL","0.0125"
"Colombia","Avantel-COL","0.0125"
"Colombia","UNE-COL","0.0125"
"Colombia","Virgin-COL","0.0125"
"Venezuela","Digitel-VEN","0.0382"
"Venezuela","Movistar-VEN","0.0382"
"Venezuela","Movilnet-VEN","0.0382"
"Bolivia","Nuevatel-BOL","0.0616"
"Bolivia","Entel-BOL","0.0616"
"Bolivia","Tigo-BOL","0.0616"
"Guyana","Digicel-GUY","0.0468"
"Guyana","GT&T Cellink-GUY","0.0468"
"Ecuador","Movistar-ECU","0.1038"
"Ecuador","Claro-ECU","0.1038"
"Ecuador","CNT Mobile-ECU","0.1038"
"Paraguay","VOX-PRY","0.0160"
"Paraguay","Claro-PRY","0.0160"
"Paraguay","Tigo-PRY","0.0160"
"Paraguay","Nucleo-PRY","0.0160"
"Suriname","Telesur-SUR","0.0502"
"Suriname","Digicel-SUR","0.0502"
"Uruguay","Antel Movil-URY","0.0639"
"Uruguay","Movistar-URY","0.0639"
"Uruguay","Claro-URY","0.0639"
"Falkland Islands","Batelco-FLK","0.0770"
"Morocco","IAM-MAR","0.0532"
"Morocco","inwi-MAR","0.0532"
"Tunisia","Orange-TUN","0.0719"
"Tunisia","Tunicell-TUN","0.0719"
"Tunisia","Ooredoo-TUN","0.0719"
"Libya","Libyana-LBY","0.0702"
"Libya","Madar-LBY","0.0702"
"Gambia","Gamcel-GMB","0.0810"
"Gambia","Africel-GMB","0.0285"
"Gambia","Comium-GMB","0.0285"
"Senegal","Orange-SEN","0.0673"
"Senegal","Tigo-SEN","0.0673"
"Senegal","Expresso-SEN","0.0673"
"Mauritania","Mattel-MRT","0.0901"
"Mauritania","Chinguitel-MRT","0.0901"
"Mauritania","Mauritel Mobiles-MRT","0.0901"
"Mali","Malitel-MLI","0.0924"
"Mali","Orange-MLI","0.0924"
"Guinea","Orange-GIN","0.0502"
"Guinea","Sotelgui-GIN","0.0502"
"Morocco","Meditel-MAR","0.0532"
"Hong Kong","Hutchison-HKG","0.0599"
"Hong Kong","SmarTone-HKG","0.0599"
"Hong Kong","China Unicom-HKG","0.0599"
"Hong Kong","Truphone-HKG","0.0599"
"Hong Kong","China Motion-HKG","0.0599"
"Hong Kong","CHKTL-HKG","0.0599"
"Hong Kong","China Mobile-HKG","0.0599"
"Hong Kong","PCCW mobile-HKG","0.0599"
"Hong Kong","PCCW (CDMA)-HKG","0.0599"
"Macau","SmarTone-MAC","0.0319"
"Macau","CTM-MAC","0.0319"
"Macau","China Telecom-MAC","0.0319"
"Macau","3-MAC","0.0319"
"Cambodia","CamGSM-KHM","0.0608"
"Cambodia","Smart-KHM","0.0608"
"Cambodia","Cadcomms-KHM","0.0608"
"Cambodia","Viettel (Metfone)-KHM","0.0608"
"Cambodia","Sotelco (Beeline)-KHM","0.0608"
"Cambodia","Seatel-KHM","0.0608"
"Laos","LTC-LAO","0.0479"
"Laos","ETL-LAO","0.0479"
"Laos","Unitel-LAO","0.0479"
"Laos","Beeline-LAO","0.0479"
"China","China Mobile-CHN","0.0513"
"China","China Unicom-CHN","0.0513"
"China","China Telecom-CHN","0.0513"
"Taiwan","FarEasTone-TWN","0.0411"
"Taiwan","Asia Pacific-TWN","0.0411"
"Taiwan","VIBO-TWN","0.0411"
"Taiwan","Chunghwa Telecom-TWN","0.0411"
"Taiwan","Taiwan Mobile-TWN","0.0411"
"Bangladesh","GrameenPhone-BGD","0.0856"
"Bangladesh","Robi-BGD","0.0856"
"Bangladesh","Banglalink-BGD","0.0856"
"Bangladesh","Teletalk-BGD","0.0856"
"Bangladesh","Airtel-BGD","0.0856"
"Maldives","Dhiraagu-MDV","0.0183"
"Maldives","Ooredoo-MDV","0.0183"
"Malaysia","Maxis-MYS","0.0414"
"Malaysia","DiGi-MYS","0.0414"
"Malaysia","U Mobile-MYS","0.0414"
"Malaysia","Celcom-MYS","0.0414"
"Malaysia","TuneTalk-MYS","0.0414"
"Malaysia","Baraka Telecom-MYS","0.0414"
"Malaysia","Yes-MYS","0.0414"
"Malaysia","P1-MYS","0.0414"
"Australia","Telstra-AUS","0.0283"
"Australia","Optus-AUS","0.0283"
"Australia","Vodafone-AUS","0.0283"
"Australia","VicTrack-AUS","0.0283"
"Australia","Lycamobile-AUS","0.0283"
"Indonesia","Indosat-IDN","0.0303"
"Indonesia","Smartfren-IDN","0.0303"
"Indonesia","Telkomsel-IDN","0.0303"
"Indonesia","XL-IDN","0.0303"
"Indonesia","Ceria-IDN","0.0303"
"Indonesia","3-IDN","0.0303"
"Timor","Telkomcel-TLS","0.0685"
"Timor","Timor Telecom-TLS","0.0685"
"Timor","Telemor-TLS","0.0685"
"Philippines","Globe-PHL","0.0434"
"Philippines","SMART-PHL","0.0434"
"Philippines","Sun Cellular-PHL","0.0434"
"Philippines","Nextel-PHL","0.0434"
"Thailand","CAT-THA","0.0138"
"Thailand","AIS-THA","0.0138"
"Thailand","AWN-THA","0.0138"
"Thailand","TOT 3G-THA","0.0138"
"Thailand","dtac-THA","0.0138"
"Thailand","TrueMove-THA","0.0138"
"Singapore","SingTel-SGP","0.0319"
"Singapore","M1-SGP","0.0319"
"Singapore","StarHub-SGP","0.0319"
"Brunei","B-Mobile-BRN","0.0160"
"Brunei","DSTCom-BRN","0.0160"
"New Zealand","Vodafone-NZL","0.0878"
"New Zealand","Spark NZ-NZL","0.0878"
"New Zealand","2degrees-NZL","0.0878"
"Nauru","Digicel-NRU","0.0422"
"Papua New Guinea","BeMobile-PNG","0.0513"
"Papua New Guinea","Telikom-PNG","0.0513"
"Papua New Guinea","Digicel-PNG","0.0513"
"Tonga","U-Call-TON","0.0479"
"Tonga","Digicel-TON","0.0479"
"Vanuatu","Smile-VUT","0.1084"
"Vanuatu","Digicel-VUT","0.1084"
"Fiji","Vodafone-FJI","0.0491"
"Fiji","Digicel-FJI","0.0491"
"New Caledonia","Mobilis-NCL","0.1027"
"French Polynesia","Vodafone-PYF","0.1380"
"French Polynesia","Vini-PYF","0.1380"
"Cook Islands","Kokanet-COK","0.0217"
"Samoa","Digicel-WSM","0.0491"
"Egypt","Mobinil-EGY","0.0730"
"Egypt","Vodafone-EGY","0.0730"
"Egypt","Etisalat-EGY","0.0730"
"Algeria","Mobilis-DZA","0.1078"
"Algeria","Djezzy-DZA","0.1078"
"Algeria","Nedjma-DZA","0.1078"
"Greece","Cosmote-GRC","0.0510"
"Greece","Vodafone-GRC","0.0510"
"Greece","WIND-GRC","0.0510"
"Greece","CYTA-GRC","0.0510"
"Netherlands","Tele2-NLD","0.0878"
"Netherlands","Voiceworks-NLD","0.0878"
"Netherlands","Vodafone-NLD","0.0878"
"Netherlands","ElephantTalk-NLD","0.0878"
"Netherlands","Vectone Mobile-NLD","0.0878"
"Netherlands","Teleena-NLD","0.0878"
"Netherlands","KPN-NLD","0.0878"
"Netherlands","Lycamobile-NLD","0.0878"
"Netherlands","Telfort-NLD","0.0878"
"Netherlands","Ziggo-NLD","0.0878"
"Netherlands","T-Mobile-NLD","0.0878"
"Netherlands","Intercity Zakelijk-NLD","0.0878"
"Netherlands","UPC-NLD","0.0878"
"Netherlands","ASPIDER Solutions-NLD","0.0878"
"Netherlands","Private Mobility-NLD","0.0878"
"Netherlands","Lancelot-NLD","0.0878"
"Belgium","Proximus-BEL","0.0924"
"Belgium","Telenet Mobile-BEL","0.0924"
"Belgium","Mobistar-BEL","0.0924"
"Belgium","BASE-BEL","0.0924"
"France","Orange-FRA","0.0537"
"France","SFR-FRA","0.0537"
"France","Free Mobile-FRA","0.0537"
"France","Bouygues-FRA","0.0537"
"France","Transatel-FRA","0.0537"
"France","Virgin Mobile-FRA","0.0537"
"France","MobiquiThings-FRA","0.0537"
"France","Lycamobile-FRA","0.0537"
"France","NRJ Mobile-FRA","0.0537"
"France","Afone Mobile-FRA","0.0537"
"France","Vectone-FRA","0.0537"
"Monaco","Monaco Telecom-MCO","0.0981"
"Andorra","Mobiland-AND","0.0291"
"Spain","Vodafone-ESP","0.0439"
"Spain","Orange-ESP","0.0439"
"Spain","Yoigo-ESP","0.0439"
"Spain","Movistar-ESP","0.0439"
"Spain","Euskaltel-ESP","0.0439"
"Spain","TeleCable-ESP","0.0439"
"Spain","R Cable-ESP","0.0439"
"Spain","ONO-ESP","0.0439"
"Spain","Simyo-ESP","0.0439"
"Spain","Fonyou-ESP","0.0439"
"Spain","Jazztel-ESP","0.0439"
"Spain","DigiMobil-ESP","0.0439"
"Spain","Barablu-ESP","0.0439"
"Spain","Lycamobile-ESP","0.0439"
"Hungary","Telenor-HUN","0.0728"
"Hungary","T-Mobile-HUN","0.0728"
"Hungary","Vodafone-HUN","0.0728"
"Hungary","UPC Hungary-HUN","0.0728"
"Bosnia and Herzegovina","ERONET-BIH","0.0422"
"Bosnia and Herzegovina","m:tel-BIH","0.0422"
"Bosnia and Herzegovina","BH Mobile-BIH","0.0422"
"Croatia","T-Mobile-HRV","0.0455"
"Croatia","TELE2-HRV","0.0455"
"Croatia","VIPnet-HRV","0.0455"
"Serbia","Telenor-SRB","0.0228"
"Serbia","mt:s-SRB","0.0228"
"Serbia","VIP-SRB","0.0228"
"Italy","TIM-ITA","0.0468"
"Italy","Noverca-ITA","0.0468"
"Italy","Vodafone-ITA","0.0468"
"Italy","WIND-ITA","0.0468"
"Italy","3 Italia-ITA","0.0468"
"Romania","Vodafone-ROU","0.0496"
"Romania","Clicknet Mobile-ROU","0.0496"
"Romania","Cosmote-ROU","0.0496"
"Romania","DigiMobil-ROU","0.0496"
"Romania","Orange-ROU","0.0496"
"Romania","Lycamobile-ROU","0.0496"
"Switzerland","Swisscom-CHE","0.0570"
"Switzerland","Sunrise-CHE","0.0570"
"Switzerland","Salt Mobile-CHE","0.0856"
"Switzerland","Tele4u-CHE","0.0570"
"Switzerland","BebbiCell -CHE","0.0570"
"Switzerland","UPC Cablecom-CHE","0.0856"
"Switzerland","Lycamobile-CHE","0.0570"
"Czech Republic","T-Mobile-CZE","0.0491"
"Czech Republic","O2-CZE","0.0491"
"Czech Republic","Vodafone-CZE","0.0491"
"Czech Republic","U:fon-CZE","0.0491"
"Czech Republic","Eureka-CZE","0.0491"
"Slovak Republic","Orange-SVK","0.0616"
"Slovak Republic","Telekom-SVK","0.0616"
"Slovak Republic","Swan-SVK","0.0616"
"Slovak Republic","O2-SVK","0.0616"
"Austria","A1 Telecom-AUT","0.0599"
"Austria","T-Mobile-AUT","0.0599"
"Austria","Orange-AUT","0.0599"
"Austria","Hutchison 3G-AUT","0.0599"
"United Kingdom","Vectone Mobile-GBR","0.0342"
"United Kingdom","Airtel Jersey-GBR","0.0342"
"United Kingdom","OnePhone-GBR","0.0342"
"United Kingdom","Tismi-GBR","0.0342"
"United Kingdom","O2-GBR","0.0342"
"United Kingdom","HSL-GBR","0.0342"
"United Kingdom","Vodafone-GBR","0.0342"
"United Kingdom","TalkTalk-GBR","0.0342"
"United Kingdom","FleXtel-GBR","0.0342"
"United Kingdom","Cloud9-GBR","0.0342"
"United Kingdom","PMN-GBR","0.0342"
"United Kingdom","Three-GBR","0.0342"
"United Kingdom","Routo-GBR","0.0342"
"United Kingdom","Stour Marine-GBR","0.0342"
"United Kingdom","Truphone-GBR","0.0342"
"United Kingdom","Lycamobile-GBR","0.0342"
"United Kingdom","Teleena-GBR","0.0342"
"United Kingdom","Marathon Telecom-GBR","0.0342"
"United Kingdom","T-Mobile (EE)-GBR","0.0342"
"United Kingdom","Orange (EE)-GBR","0.0342"
"United Kingdom","Virgin Mobile-GBR","0.0342"
"United Kingdom","Southern Electric-GBR","0.0342"
"United Kingdom","JT Mobile-GBR","0.0342"
"United Kingdom","Guernsey Telecom (Sure)-GBR","0.0342"
"United Kingdom","Sky-GBR","0.0342"
"United Kingdom","Manx-GBR","0.0342"
"United Kingdom","Airwave-GBR","0.0342"
"Denmark","TDC-DNK","0.0319"
"Denmark","Telenor-DNK","0.0319"
"Denmark","Hi3G-DNK","0.0319"
"Denmark","Vectone Mobile-DNK","0.0319"
"Denmark","Lycamobile-DNK","0.0319"
"Denmark","Telia-DNK","0.0319"
"Denmark","CoolTEL-DNK","0.0319"
"Sweden","Telia-SWE","0.0479"
"Sweden","Hi3G-SWE","0.0479"
"Sweden","Tele2-SWE","0.0479"
"Sweden","Telenor-SWE","0.0479"
"Norway","Telenor-NOR","0.0641"
"Norway","Telia-NOR","0.0641"
"Norway","TDC Mobil-NOR","0.0641"
